application_id,customer_email,installer_partner_id,installation_type,system_size_kwp,loan_amount_eur,loan_term_months,application_date,credit_score,annual_income_eur,postal_code,status,data_quality_flags,risk_category,loan_to_income_ratio,processed_at,loan_id,disbursement_date,current_balance_eur,days_past_due,payment_status,last_payment_date,next_payment_due,lms_quality_flags,delinquency_bucket,months_since_disbursement,estimated_remaining_balance
APP026,short.zip@email.com,INST_042,solar_battery,12.0,27000,180,2024-12-07,700.0,78000.0,123,approved,"{""invalid_postal_code"": true}",Good,0.34615384615384615,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,27000.0
APP027,long.zip@test.de,INST_091,solar_pv,8.7,15200,120,2024-12-08,725.0,64000.0,123456,approved,"{""invalid_postal_code"": true}",Good,0.2375,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,15200.0
APP028,proper@formatting.com,INST_042,heat_pump,,20500,144,2024-12-09,715.0,73000.0,90402,approved,{},Good,0.2808219178082192,2026-01-23 18:55:21.640842+01:00,LN20250322,2025-03-22,19068.0,0.0,current,2025-05-01,2025-05-31,"{""duplicate_loan_id"": true}",Current,10.0,19068.0
APP030,null@credit.com,INST_042,solar_battery,11.5,26000,180,2024-12-11,,76000.0,80337,approved,"{""credit_score_out_of_range"": true}",Unknown,0.34210526315789475,2026-01-23 18:55:21.640842+01:00,LN20250308,2025-03-08,25548.0,0.0,current,2025-04-25,2025-05-25,"{""duplicate_loan_id"": true}",Current,10.0,25548.0
APP031,extreme.lti@test.de,INST_091,solar_pv,8.0,14500,96,2024-12-12,740.0,25000.0,50671,approved,{},Good,0.58,2026-01-23 18:55:21.640842+01:00,LN20250316,2025-03-16,20769.0,0.0,current,2025-04-08,2025-05-08,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,20769.0
APP032,weekend@application.com,INST_042,heat_pump,,19500,144,2024-12-14,705.0,70000.0,60315,approved,{},Good,0.2785714285714286,2026-01-23 18:55:21.640842+01:00,LN20250323,2025-03-23,26728.0,0.0,current,2025-04-28,2025-05-28,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,26728.0
APP033,borderline@score.de,INST_156,solar_pv,9.2,16800,120,2024-12-15,650.0,66000.0,70175,approved,{},Fair,0.2545454545454545,2026-01-23 18:55:21.640842+01:00,LN20250322,2025-03-22,22455.0,0.0,current,2025-05-09,2025-06-08,"{""balance_exceeds_original"": true}",Current,10.0,22455.0
APP034,exactly750@score.com,INST_042,solar_battery,12.5,28500,180,2024-12-16,750.0,82000.0,20100,approved,{},Excellent,0.3475609756097561,2026-01-23 18:55:21.640842+01:00,LN20250327,2025-03-27,27144.0,8.0,late,2025-05-15,2025-06-14,"{""duplicate_loan_id"": true}",Late,10.0,27144.0
APP035,exactly700@score.de,INST_091,solar_pv,8.9,15800,120,2024-12-17,700.0,67000.0,30162,approved,{},Good,0.23582089552238805,2026-01-23 18:55:21.640842+01:00,LN20250314,2025-03-14,15700.0,0.0,current,2025-03-29,2025-04-29,{},Current,10.0,15700.0
APP036,mixed.case@email.de,INST_042,heat_pump,,21500,156,2024-12-18,720.0,74000.0,40213,approved,{},Good,0.2905405405405405,2026-01-23 18:55:21.640842+01:00,LN20250316,2025-03-16,21400.0,0.0,current,2025-03-31,2025-05-01,{},Current,10.0,21400.0
APP037,leading.space@email.de,INST_156,solar_pv,9.6,17500,120,2024-12-19,710.0,68500.0,50672,approved,{},Good,0.25547445255474455,2026-01-23 18:55:21.640842+01:00,LN20250310,2025-03-10,17479.0,0.0,current,2025-05-07,2025-06-06,"{""duplicate_loan_id"": true}",Current,10.0,17479.0
APP038,trailing.space@email.de,INST_042,solar_battery,11.9,27500,180,2024-12-20,725.0,79000.0,80338,approved,{},Good,0.34810126582278483,2026-01-23 18:55:21.640842+01:00,LN20250318,2025-03-18,24504.0,0.0,current,2025-04-19,2025-05-19,"{""duplicate_loan_id"": true}",Current,10.0,24504.0
APP039,invalid.type@test.com,INST_091,wind_turbine,15.0,35000,180,2024-12-21,730.0,85000.0,60316,approved,"{""invalid_installation_type"": true}",Good,0.4117647058823529,2026-01-23 18:55:21.640842+01:00,LN20250306,2025-03-06,16712.0,0.0,current,2025-03-26,2025-04-25,"{""duplicate_loan_id"": true}",Current,10.0,16712.0
APP040,missing.partner@email.de,,solar_pv,8.4,15300,120,2024-12-22,715.0,64500.0,01070,pending,{},Good,0.2372093023255814,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,15300.0
APP041,zero.term@test.com,INST_042,heat_pump,,20000,0,2024-12-23,700.0,71000.0,10118,approved,{},Good,0.28169014084507044,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,20000.0
APP042,negative.term@email.de,INST_156,solar_pv,9.3,16900,-120,2024-12-24,705.0,68000.0,20101,pending,{},Good,0.2485294117647059,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,16900.0
APP043,christmas@application.de,INST_042,solar_battery,12.2,27800,180,2024-12-25,735.0,80000.0,30163,approved,{},Good,0.3475,2026-01-23 18:55:21.640842+01:00,LN20250130,2025-01-30,27750.0,0.0,current,2025-02-22,2025-03-22,{},Current,12.0,27750.0
APP044,perfect.application@email.de,INST_091,solar_pv,10.5,18500,120,2024-12-26,785.0,88000.0,40214,approved,{},Excellent,0.21022727272727273,2026-01-23 18:55:21.640842+01:00,LN20250306,2025-03-06,14463.0,0.0,current,2025-05-02,2025-06-01,"{""duplicate_loan_id"": true}",Current,10.0,14463.0
APP045,minimal.data@test.com,INST_042,heat_pump,,22500,144,2024-12-27,695.0,72500.0,50673,approved,{},Fair,0.3103448275862069,2026-01-23 18:55:21.640842+01:00,LN20250313,2025-03-13,28071.0,1.0,late,2025-05-08,2025-06-07,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Late,10.0,28071.0
APP046,kunde46@email.de,INST_203,solar_pv,5.9,18935,120,2024-11-11,615.0,48434.0,10115,declined,{},Poor,0.39094437791633974,2026-01-23 18:55:21.640842+01:00,LN20250301,2025-03-01,15865.0,0.0,current,2025-03-30,2025-04-29,"{""duplicate_loan_id"": true}",Current,10.0,15865.0
APP047,kunde47@domain.de,INST_156,heat_pump,,22873,180,2024-10-08,759.0,106426.0,10115,approved,{},Excellent,0.2149192866404826,2026-01-23 18:55:21.640842+01:00,LN20250327,2025-03-27,23152.0,-1.0,current,2025-04-24,2025-05-24,"{""balance_exceeds_original"": true}",Current,10.0,23152.0
APP048,buyer48@domain.de,INST_042,solar_battery,9.2,28224,180,2024-08-27,606.0,47156.0,20099,approved,{},Poor,0.5985240478412079,2026-01-23 18:55:21.640842+01:00,LN20250307,2025-03-07,18781.0,0.0,current,2025-04-29,2025-05-29,"{""duplicate_loan_id"": true}",Current,10.0,18781.0
APP049,person49@domain.de,INST_287,solar_pv,6.9,19459,96,2024-10-16,740.0,82400.0,60311,approved,{},Good,0.23615291262135923,2026-01-23 18:55:21.640842+01:00,LN20250328,2025-03-28,23500.0,0.0,current,2025-05-11,2025-06-10,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,23500.0
APP050,customer50@web.de,INST_156,solar_pv,8.6,16065,120,2024-07-30,673.0,56319.0,60311,approved,{},Fair,0.2852500932189847,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,16065.0
APP051,kunde51@test.com,INST_042,solar_battery,16.2,25598,144,2024-07-12,756.0,108000.0,60311,approved,{},Excellent,0.23701851851851852,2026-01-23 18:55:21.640842+01:00,LN20250321,2025-03-21,26069.0,0.0,current,2025-05-17,2025-06-16,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,26069.0
APP052,contact52@test.com,INST_287,solar_battery,15.9,25483,120,2024-09-11,804.0,76245.0,10119,approved,{},Excellent,0.3342251950947603,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,25483.0
APP053,contact53@email.de,INST_042,heat_pump,,21930,96,2024-08-03,689.0,87350.0,70175,approved,{},Fair,0.2510589582140813,2026-01-23 18:55:21.640842+01:00,LN20250301,2025-03-01,22135.0,0.0,current,2025-04-16,2025-05-16,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,22135.0
APP054,buyer54@web.de,INST_042,heat_pump,,22252,96,2024-07-10,596.0,85432.0,20100,declined,{},Poor,0.26046446296469705,2026-01-23 18:55:21.640842+01:00,LN20250324,2025-03-24,26176.0,0.0,current,2025-05-16,2025-06-15,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,26176.0
APP055,buyer55@web.de,INST_156,heat_pump,8.0,23123,96,2024-11-22,608.0,73469.0,30159,approved,{},Poor,0.314731383304523,2026-01-23 18:55:21.640842+01:00,LN20250305,2025-03-05,32269.0,0.0,current,2025-03-25,2025-04-24,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,32269.0
APP056,kunde56@web.de,INST_334,solar_battery,9.9,34492,180,2024-11-08,619.0,84009.0,30163,approved,{},Poor,0.4105750574343225,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,34492.0
APP057,customer57@email.de,INST_512,solar_pv,7.4,10949,96,2024-06-05,658.0,66385.0,50670,declined,{},Fair,0.16493183701137304,2026-01-23 18:55:21.640842+01:00,LN20250318,2025-03-18,15093.0,0.0,current,2025-05-01,2025-05-31,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,15093.0
APP058,person58@web.de,INST_203,heat_pump,,20342,144,2024-12-12,720.0,56643.0,30159,approved,{},Good,0.359126458697456,2026-01-23 18:55:21.640842+01:00,LN20250307,2025-03-07,23055.0,0.0,current,2025-05-04,2025-06-03,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,23055.0
APP059,person59@web.de,INST_203,heat_pump,,20061,96,2024-09-11,695.0,50860.0,40212,approved,{},Fair,0.3944357058592214,2026-01-23 18:55:21.640842+01:00,LN20250330,2025-03-30,22112.0,46.0,delinquent,2025-05-25,2025-06-24,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Delinquent,10.0,22112.0
APP060,contact60@test.com,INST_608,heat_pump,,17160,120,2024-06-19,588.0,78309.0,40212,approved,{},Poor,0.21913190054782974,2026-01-23 18:55:21.640842+01:00,LN20250321,2025-03-21,21347.0,0.0,current,2025-05-11,2025-06-10,"{""balance_exceeds_original"": true}",Current,10.0,21347.0
APP061,applicant61@example.com,INST_042,heat_pump,12.6,19119,96,2024-12-03,786.0,88354.0,40210,approved,{},Excellent,0.21639088213323676,2026-01-23 18:55:21.640842+01:00,LN20250320,2025-03-20,18624.0,0.0,current,2025-05-15,2025-06-14,"{""duplicate_loan_id"": true}",Current,10.0,18624.0
APP062,user62@mail.de,INST_512,solar_battery,14.4,25116,120,2024-06-16,643.0,60112.0,01070,approved,{},Poor,0.41782006920415227,2026-01-23 18:55:21.640842+01:00,LN20250305,2025-03-05,19375.0,0.0,current,2025-04-12,2025-05-12,"{""duplicate_loan_id"": true}",Current,10.0,19375.0
APP063,person63@test.com,INST_421,solar_battery,19.6,22241,180,2024-06-20,592.0,105855.0,30161,declined,{},Poor,0.21010816683198716,2026-01-23 18:55:21.640842+01:00,LN20250320,2025-03-20,19239.0,0.0,current,2025-04-09,2025-05-09,"{""duplicate_loan_id"": true}",Current,10.0,19239.0
APP064,buyer64@example.com,INST_608,solar_pv,14.3,14345,180,2024-10-02,580.0,86173.0,60311,pending,{},Poor,0.1664674550033073,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,14345.0
APP065,contact65@web.de,INST_608,solar_pv,12.5,10998,120,2024-07-10,768.0,106066.0,50667,approved,{},Excellent,0.10369015518639338,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,10998.0
APP066,kunde66@web.de,INST_091,heat_pump,14.2,22615,180,2024-06-15,597.0,65828.0,10119,declined,{},Poor,0.34354681898280365,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,22615.0
APP067,buyer67@example.com,INST_334,heat_pump,,19910,96,2024-11-16,632.0,76180.0,40210,approved,{},Poor,0.26135468626936204,2026-01-23 18:55:21.640842+01:00,LN20250319,2025-03-19,22962.0,0.0,current,2025-05-05,2025-06-04,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,22962.0
APP068,client68@email.de,INST_203,solar_battery,14.1,25492,144,2024-06-03,598.0,105468.0,40211,pending,{},Poor,0.2417036447073994,2026-01-23 18:55:21.640842+01:00,LN20250302,2025-03-02,29807.0,0.0,current,2025-04-09,2025-05-09,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,29807.0
APP069,customer69@test.com,INST_287,solar_pv,11.7,10128,96,2024-08-12,736.0,104329.0,60314,declined,{},Good,0.09707751440155661,2026-01-23 18:55:21.640842+01:00,LN20250311,2025-03-11,22944.0,57.0,delinquent,2025-04-16,2025-05-16,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Delinquent,10.0,22944.0
APP070,contact70@mail.de,INST_042,heat_pump,,19335,96,2024-06-28,633.0,79942.0,70175,approved,{},Poor,0.24186285056666082,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,19335.0
APP071,contact71@web.de,INST_421,solar_battery,19.8,32438,96,2024-11-10,,52146.0,30163,approved,"{""credit_score_out_of_range"": true}",Unknown,0.6220611360411153,2026-01-23 18:55:21.640842+01:00,LN20250305,2025-03-05,18535.0,0.0,current,2025-04-07,2025-05-07,"{""duplicate_loan_id"": true}",Current,10.0,18535.0
APP072,kunde72@mail.de,INST_334,solar_pv,10.5,19543,96,2024-06-29,793.0,83393.0,01069,pending,{},Excellent,0.23434820668401424,2026-01-23 18:55:21.640842+01:00,LN20250328,2025-03-28,27910.0,0.0,current,2025-05-18,2025-06-17,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,27910.0
APP073,person73@domain.de,INST_156,solar_pv,14.7,16658,120,2024-08-31,779.0,108385.0,01067,approved,{},Excellent,0.15369285417723855,2026-01-23 18:55:21.640842+01:00,LN20250321,2025-03-21,12801.0,0.0,current,2025-04-29,2025-05-29,"{""duplicate_loan_id"": true}",Current,10.0,12801.0
APP074,customer74@example.com,INST_042,solar_pv,7.7,14065,180,2024-09-14,818.0,88964.0,20100,declined,{},Excellent,0.1580976574794299,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,14065.0
APP075,client75@mail.de,INST_091,solar_pv,5.2,13652,144,2024-07-27,790.0,64831.0,30163,pending,{},Excellent,0.21057827273989296,2026-01-23 18:55:21.640842+01:00,LN20250319,2025-03-19,13385.0,0.0,current,2025-04-26,2025-05-26,"{""duplicate_loan_id"": true}",Current,10.0,13385.0
APP076,buyer76@email.de,INST_091,heat_pump,14.8,16452,180,2024-08-29,717.0,78404.0,70174,approved,{},Good,0.209836232845263,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,16452.0
APP077,kunde77@provider.com,INST_421,heat_pump,,22311,96,2024-08-28,710.0,50157.0,30161,approved,{},Good,0.4448232549793648,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,22311.0
APP078,client78@web.de,INST_334,heat_pump,,21967,96,2024-10-12,751.0,60825.0,01067,declined,{},Excellent,0.3611508425811755,2026-01-23 18:55:21.640842+01:00,LN20250303,2025-03-03,19157.0,15.0,late,2025-03-30,2025-04-29,"{""duplicate_loan_id"": true}",Late,10.0,19157.0
APP079,applicant79@provider.com,INST_156,solar_battery,9.5,31083,144,2024-12-02,683.0,73752.0,70174,approved,{},Fair,0.4214529775463716,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,31083.0
APP080,contact80@domain.de,INST_156,heat_pump,,23618,96,2024-09-12,690.0,77237.0,30163,approved,{},Fair,0.30578608697903853,2026-01-23 18:55:21.640842+01:00,LN20250310,2025-03-10,22469.0,0.0,current,2025-05-02,2025-06-01,"{""duplicate_loan_id"": true}",Current,10.0,22469.0
APP081,kunde81@email.de,INST_203,heat_pump,,21085,180,2024-08-12,789.0,65784.0,01067,approved,{},Excellent,0.3205186671531071,2026-01-23 18:55:21.640842+01:00,LN20250328,2025-03-28,12659.0,-1.0,current,2025-05-04,2025-06-03,{},Current,10.0,12659.0
APP082,kunde82@domain.de,INST_091,solar_pv,9.0,18099,180,2024-11-04,629.0,85328.0,60314,approved,{},Poor,0.21211091318207387,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,18099.0
APP083,user83@domain.de,INST_512,solar_pv,14.2,14082,144,2024-07-27,592.0,108060.0,30161,pending,{},Poor,0.1303164908384231,2026-01-23 18:55:21.640842+01:00,LN20250314,2025-03-14,27969.0,0.0,current,2025-04-12,2025-05-12,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,27969.0
APP084,contact84@example.com,INST_287,solar_battery,18.8,29305,120,2024-12-11,689.0,106810.0,40211,declined,{},Fair,0.2743656960958712,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,29305.0
APP085,buyer85@mail.de,INST_334,solar_battery,8.9,29206,96,2024-11-11,641.0,70992.0,30159,declined,{},Poor,0.41139846743295017,2026-01-23 18:55:21.640842+01:00,LN20250329,2025-03-29,13079.0,0.0,current,2025-05-03,2025-06-02,{},Current,10.0,13079.0
APP086,applicant86@email.de,INST_203,solar_pv,9.1,16797,180,2024-07-06,634.0,43418.0,80335,approved,{},Poor,0.3868671979363398,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,16797.0
APP087,applicant87@web.de,INST_608,heat_pump,10.5,23814,120,2024-09-08,727.0,84857.0,01069,approved,{},Good,0.2806368360889496,2026-01-23 18:55:21.640842+01:00,LN20250315,2025-03-15,16580.0,0.0,current,2025-04-17,2025-05-17,"{""duplicate_loan_id"": true}",Current,10.0,16580.0
APP088,user88@web.de,INST_608,solar_pv,12.2,16624,96,2024-10-03,,79057.0,80337,approved,"{""credit_score_out_of_range"": true}",Unknown,0.21027865970122822,2026-01-23 18:55:21.640842+01:00,LN20250307,2025-03-07,15510.0,0.0,current,2025-04-26,2025-05-26,"{""duplicate_loan_id"": true}",Current,10.0,15510.0
APP089,contact89@mail.de,INST_334,heat_pump,9.8,23564,180,2024-09-09,689.0,52786.0,40210,approved,{},Fair,0.4464062440798697,2026-01-23 18:55:21.640842+01:00,LN20250324,2025-03-24,28734.0,0.0,current,2025-05-17,2025-06-16,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,28734.0
APP090,customer90@domain.de,INST_042,solar_battery,20.0,22853,96,2024-08-11,771.0,105702.0,80337,declined,{},Excellent,0.21620215322321243,2026-01-23 18:55:21.640842+01:00,LN20250311,2025-03-11,15000.0,0.0,current,2025-05-03,2025-06-02,"{""duplicate_loan_id"": true}",Current,10.0,15000.0
APP091,buyer91@domain.de,INST_334,solar_pv,10.6,11874,120,2024-08-03,612.0,97070.0,30163,approved,{},Poor,0.12232409601318636,2026-01-23 18:55:21.640842+01:00,LN20250328,2025-03-28,15096.0,0.0,current,2025-05-20,2025-06-19,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,15096.0
APP092,applicant92@example.com,INST_203,heat_pump,,17771,96,2024-11-03,621.0,75768.0,01070,declined,{},Poor,0.23454492661809734,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,17771.0
APP093,kunde93@mail.de,INST_608,heat_pump,,17983,180,2024-10-30,777.0,74529.0,30163,approved,{},Excellent,0.2412886259040105,2026-01-23 18:55:21.640842+01:00,LN20250323,2025-03-23,19973.0,0.0,current,2025-05-07,2025-06-06,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,19973.0
APP094,contact94@provider.com,INST_156,solar_battery,9.3,30031,180,2024-11-17,797.0,90057.0,10119,approved,{},Excellent,0.33346658227566983,2026-01-23 18:55:21.640842+01:00,LN20250314,2025-03-14,21882.0,0.0,current,2025-04-16,2025-05-16,"{""duplicate_loan_id"": true}",Current,10.0,21882.0
APP095,buyer95@mail.de,INST_203,heat_pump,,23921,96,2024-07-16,786.0,105539.0,70174,pending,{},Excellent,0.22665554913349567,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,23921.0
APP096,user96@example.com,INST_203,solar_battery,8.3,27511,144,2024-08-11,751.0,84674.0,80335,declined,{},Excellent,0.3249049294942958,2026-01-23 18:55:21.640842+01:00,LN20250325,2025-03-25,27307.0,0.0,current,2025-04-27,2025-05-27,"{""duplicate_loan_id"": true}",Current,10.0,27307.0
