application_id,customer_email,installer_partner_id,installation_type,system_size_kwp,loan_amount_eur,loan_term_months,application_date,credit_score,annual_income_eur,postal_code,status,data_quality_flags,risk_category,loan_to_income_ratio,processed_at
APP034,exactly750@score.com,INST_042,solar_battery,12.5,28500,180,2024-12-16,750.0,82000.0,20100,approved,{},Excellent,0.3475609756097561,2026-01-23 18:55:21.640842+01:00
APP035,exactly700@score.de,INST_091,solar_pv,8.9,15800,120,2024-12-17,700.0,67000.0,30162,approved,{},Good,0.23582089552238805,2026-01-23 18:55:21.640842+01:00
APP036,mixed.case@email.de,INST_042,heat_pump,,21500,156,2024-12-18,720.0,74000.0,40213,approved,{},Good,0.2905405405405405,2026-01-23 18:55:21.640842+01:00
APP037,leading.space@email.de,INST_156,solar_pv,9.6,17500,120,2024-12-19,710.0,68500.0,50672,approved,{},Good,0.25547445255474455,2026-01-23 18:55:21.640842+01:00
APP038,trailing.space@email.de,INST_042,solar_battery,11.9,27500,180,2024-12-20,725.0,79000.0,80338,approved,{},Good,0.34810126582278483,2026-01-23 18:55:21.640842+01:00
APP039,invalid.type@test.com,INST_091,wind_turbine,15.0,35000,180,2024-12-21,730.0,85000.0,60316,approved,"{""invalid_installation_type"": true}",Good,0.4117647058823529,2026-01-23 18:55:21.640842+01:00
APP040,missing.partner@email.de,,solar_pv,8.4,15300,120,2024-12-22,715.0,64500.0,01070,pending,{},Good,0.2372093023255814,2026-01-23 18:55:21.640842+01:00
APP041,zero.term@test.com,INST_042,heat_pump,,20000,0,2024-12-23,700.0,71000.0,10118,approved,{},Good,0.28169014084507044,2026-01-23 18:55:21.640842+01:00
APP042,negative.term@email.de,INST_156,solar_pv,9.3,16900,-120,2024-12-24,705.0,68000.0,20101,pending,{},Good,0.2485294117647059,2026-01-23 18:55:21.640842+01:00
APP043,christmas@application.de,INST_042,solar_battery,12.2,27800,180,2024-12-25,735.0,80000.0,30163,approved,{},Good,0.3475,2026-01-23 18:55:21.640842+01:00
APP044,perfect.application@email.de,INST_091,solar_pv,10.5,18500,120,2024-12-26,785.0,88000.0,40214,approved,{},Excellent,0.21022727272727273,2026-01-23 18:55:21.640842+01:00
APP045,minimal.data@test.com,INST_042,heat_pump,,22500,144,2024-12-27,695.0,72500.0,50673,approved,{},Fair,0.3103448275862069,2026-01-23 18:55:21.640842+01:00
APP046,kunde46@email.de,INST_203,solar_pv,5.9,18935,120,2024-11-11,615.0,48434.0,10115,declined,{},Poor,0.39094437791633974,2026-01-23 18:55:21.640842+01:00
APP047,kunde47@domain.de,INST_156,heat_pump,,22873,180,2024-10-08,759.0,106426.0,10115,approved,{},Excellent,0.2149192866404826,2026-01-23 18:55:21.640842+01:00
APP048,buyer48@domain.de,INST_042,solar_battery,9.2,28224,180,2024-08-27,606.0,47156.0,20099,approved,{},Poor,0.5985240478412079,2026-01-23 18:55:21.640842+01:00
APP049,person49@domain.de,INST_287,solar_pv,6.9,19459,96,2024-10-16,740.0,82400.0,60311,approved,{},Good,0.23615291262135923,2026-01-23 18:55:21.640842+01:00
APP050,customer50@web.de,INST_156,solar_pv,8.6,16065,120,2024-07-30,673.0,56319.0,60311,approved,{},Fair,0.2852500932189847,2026-01-23 18:55:21.640842+01:00
APP051,kunde51@test.com,INST_042,solar_battery,16.2,25598,144,2024-07-12,756.0,108000.0,60311,approved,{},Excellent,0.23701851851851852,2026-01-23 18:55:21.640842+01:00
APP052,contact52@test.com,INST_287,solar_battery,15.9,25483,120,2024-09-11,804.0,76245.0,10119,approved,{},Excellent,0.3342251950947603,2026-01-23 18:55:21.640842+01:00
APP053,contact53@email.de,INST_042,heat_pump,,21930,96,2024-08-03,689.0,87350.0,70175,approved,{},Fair,0.2510589582140813,2026-01-23 18:55:21.640842+01:00
APP054,buyer54@web.de,INST_042,heat_pump,,22252,96,2024-07-10,596.0,85432.0,20100,declined,{},Poor,0.26046446296469705,2026-01-23 18:55:21.640842+01:00
APP055,buyer55@web.de,INST_156,heat_pump,8.0,23123,96,2024-11-22,608.0,73469.0,30159,approved,{},Poor,0.314731383304523,2026-01-23 18:55:21.640842+01:00
APP056,kunde56@web.de,INST_334,solar_battery,9.9,34492,180,2024-11-08,619.0,84009.0,30163,approved,{},Poor,0.4105750574343225,2026-01-23 18:55:21.640842+01:00
APP057,customer57@email.de,INST_512,solar_pv,7.4,10949,96,2024-06-05,658.0,66385.0,50670,declined,{},Fair,0.16493183701137304,2026-01-23 18:55:21.640842+01:00
APP058,person58@web.de,INST_203,heat_pump,,20342,144,2024-12-12,720.0,56643.0,30159,approved,{},Good,0.359126458697456,2026-01-23 18:55:21.640842+01:00
APP059,person59@web.de,INST_203,heat_pump,,20061,96,2024-09-11,695.0,50860.0,40212,approved,{},Fair,0.3944357058592214,2026-01-23 18:55:21.640842+01:00
APP060,contact60@test.com,INST_608,heat_pump,,17160,120,2024-06-19,588.0,78309.0,40212,approved,{},Poor,0.21913190054782974,2026-01-23 18:55:21.640842+01:00
APP061,applicant61@example.com,INST_042,heat_pump,12.6,19119,96,2024-12-03,786.0,88354.0,40210,approved,{},Excellent,0.21639088213323676,2026-01-23 18:55:21.640842+01:00
APP062,user62@mail.de,INST_512,solar_battery,14.4,25116,120,2024-06-16,643.0,60112.0,01070,approved,{},Poor,0.41782006920415227,2026-01-23 18:55:21.640842+01:00
APP063,person63@test.com,INST_421,solar_battery,19.6,22241,180,2024-06-20,592.0,105855.0,30161,declined,{},Poor,0.21010816683198716,2026-01-23 18:55:21.640842+01:00
APP064,buyer64@example.com,INST_608,solar_pv,14.3,14345,180,2024-10-02,580.0,86173.0,60311,pending,{},Poor,0.1664674550033073,2026-01-23 18:55:21.640842+01:00
APP065,contact65@web.de,INST_608,solar_pv,12.5,10998,120,2024-07-10,768.0,106066.0,50667,approved,{},Excellent,0.10369015518639338,2026-01-23 18:55:21.640842+01:00
APP066,kunde66@web.de,INST_091,heat_pump,14.2,22615,180,2024-06-15,597.0,65828.0,10119,declined,{},Poor,0.34354681898280365,2026-01-23 18:55:21.640842+01:00
APP067,buyer67@example.com,INST_334,heat_pump,,19910,96,2024-11-16,632.0,76180.0,40210,approved,{},Poor,0.26135468626936204,2026-01-23 18:55:21.640842+01:00
APP068,client68@email.de,INST_203,solar_battery,14.1,25492,144,2024-06-03,598.0,105468.0,40211,pending,{},Poor,0.2417036447073994,2026-01-23 18:55:21.640842+01:00
APP069,customer69@test.com,INST_287,solar_pv,11.7,10128,96,2024-08-12,736.0,104329.0,60314,declined,{},Good,0.09707751440155661,2026-01-23 18:55:21.640842+01:00
APP070,contact70@mail.de,INST_042,heat_pump,,19335,96,2024-06-28,633.0,79942.0,70175,approved,{},Poor,0.24186285056666082,2026-01-23 18:55:21.640842+01:00
APP071,contact71@web.de,INST_421,solar_battery,19.8,32438,96,2024-11-10,,52146.0,30163,approved,"{""credit_score_out_of_range"": true}",Unknown,0.6220611360411153,2026-01-23 18:55:21.640842+01:00
APP072,kunde72@mail.de,INST_334,solar_pv,10.5,19543,96,2024-06-29,793.0,83393.0,01069,pending,{},Excellent,0.23434820668401424,2026-01-23 18:55:21.640842+01:00
APP073,person73@domain.de,INST_156,solar_pv,14.7,16658,120,2024-08-31,779.0,108385.0,01067,approved,{},Excellent,0.15369285417723855,2026-01-23 18:55:21.640842+01:00
APP074,customer74@example.com,INST_042,solar_pv,7.7,14065,180,2024-09-14,818.0,88964.0,20100,declined,{},Excellent,0.1580976574794299,2026-01-23 18:55:21.640842+01:00
APP075,client75@mail.de,INST_091,solar_pv,5.2,13652,144,2024-07-27,790.0,64831.0,30163,pending,{},Excellent,0.21057827273989296,2026-01-23 18:55:21.640842+01:00
APP076,buyer76@email.de,INST_091,heat_pump,14.8,16452,180,2024-08-29,717.0,78404.0,70174,approved,{},Good,0.209836232845263,2026-01-23 18:55:21.640842+01:00
APP077,kunde77@provider.com,INST_421,heat_pump,,22311,96,2024-08-28,710.0,50157.0,30161,approved,{},Good,0.4448232549793648,2026-01-23 18:55:21.640842+01:00
APP078,client78@web.de,INST_334,heat_pump,,21967,96,2024-10-12,751.0,60825.0,01067,declined,{},Excellent,0.3611508425811755,2026-01-23 18:55:21.640842+01:00
APP079,applicant79@provider.com,INST_156,solar_battery,9.5,31083,144,2024-12-02,683.0,73752.0,70174,approved,{},Fair,0.4214529775463716,2026-01-23 18:55:21.640842+01:00
APP080,contact80@domain.de,INST_156,heat_pump,,23618,96,2024-09-12,690.0,77237.0,30163,approved,{},Fair,0.30578608697903853,2026-01-23 18:55:21.640842+01:00
APP081,kunde81@email.de,INST_203,heat_pump,,21085,180,2024-08-12,789.0,65784.0,01067,approved,{},Excellent,0.3205186671531071,2026-01-23 18:55:21.640842+01:00
APP082,kunde82@domain.de,INST_091,solar_pv,9.0,18099,180,2024-11-04,629.0,85328.0,60314,approved,{},Poor,0.21211091318207387,2026-01-23 18:55:21.640842+01:00
APP083,user83@domain.de,INST_512,solar_pv,14.2,14082,144,2024-07-27,592.0,108060.0,30161,pending,{},Poor,0.1303164908384231,2026-01-23 18:55:21.640842+01:00
APP084,contact84@example.com,INST_287,solar_battery,18.8,29305,120,2024-12-11,689.0,106810.0,40211,declined,{},Fair,0.2743656960958712,2026-01-23 18:55:21.640842+01:00
APP085,buyer85@mail.de,INST_334,solar_battery,8.9,29206,96,2024-11-11,641.0,70992.0,30159,declined,{},Poor,0.41139846743295017,2026-01-23 18:55:21.640842+01:00
APP086,applicant86@email.de,INST_203,solar_pv,9.1,16797,180,2024-07-06,634.0,43418.0,80335,approved,{},Poor,0.3868671979363398,2026-01-23 18:55:21.640842+01:00
APP087,applicant87@web.de,INST_608,heat_pump,10.5,23814,120,2024-09-08,727.0,84857.0,01069,approved,{},Good,0.2806368360889496,2026-01-23 18:55:21.640842+01:00
APP088,user88@web.de,INST_608,solar_pv,12.2,16624,96,2024-10-03,,79057.0,80337,approved,"{""credit_score_out_of_range"": true}",Unknown,0.21027865970122822,2026-01-23 18:55:21.640842+01:00
APP089,contact89@mail.de,INST_334,heat_pump,9.8,23564,180,2024-09-09,689.0,52786.0,40210,approved,{},Fair,0.4464062440798697,2026-01-23 18:55:21.640842+01:00
APP090,customer90@domain.de,INST_042,solar_battery,20.0,22853,96,2024-08-11,771.0,105702.0,80337,declined,{},Excellent,0.21620215322321243,2026-01-23 18:55:21.640842+01:00
APP091,buyer91@domain.de,INST_334,solar_pv,10.6,11874,120,2024-08-03,612.0,97070.0,30163,approved,{},Poor,0.12232409601318636,2026-01-23 18:55:21.640842+01:00
APP092,applicant92@example.com,INST_203,heat_pump,,17771,96,2024-11-03,621.0,75768.0,01070,declined,{},Poor,0.23454492661809734,2026-01-23 18:55:21.640842+01:00
APP093,kunde93@mail.de,INST_608,heat_pump,,17983,180,2024-10-30,777.0,74529.0,30163,approved,{},Excellent,0.2412886259040105,2026-01-23 18:55:21.640842+01:00
APP094,contact94@provider.com,INST_156,solar_battery,9.3,30031,180,2024-11-17,797.0,90057.0,10119,approved,{},Excellent,0.33346658227566983,2026-01-23 18:55:21.640842+01:00
APP095,buyer95@mail.de,INST_203,heat_pump,,23921,96,2024-07-16,786.0,105539.0,70174,pending,{},Excellent,0.22665554913349567,2026-01-23 18:55:21.640842+01:00
APP096,user96@example.com,INST_203,solar_battery,8.3,27511,144,2024-08-11,751.0,84674.0,80335,declined,{},Excellent,0.3249049294942958,2026-01-23 18:55:21.640842+01:00
APP097,customer97@test.com,INST_421,solar_battery,8.1,31106,180,2024-12-22,805.0,71211.0,50668,approved,{},Excellent,0.4368145370799455,2026-01-23 18:55:21.640842+01:00
APP098,person98@mail.de,INST_719,solar_pv,7.9,11524,144,2024-10-21,694.0,37260.0,01069,approved,{},Fair,0.3092860976918948,2026-01-23 18:55:21.640842+01:00
APP099,buyer99@test.com,INST_091,heat_pump,,21764,120,2024-09-30,720.0,78357.0,70174,approved,{},Good,0.2777543805913958,2026-01-23 18:55:21.640842+01:00
APP100,buyer100@email.de,INST_203,solar_pv,12.4,13545,144,2024-08-20,627.0,60105.0,01070,approved,{},Poor,0.22535562765160969,2026-01-23 18:55:21.640842+01:00
APP101,user101@provider.com,INST_512,solar_battery,19.7,22745,96,2024-07-29,612.0,70954.0,20100,approved,{},Poor,0.320559799306593,2026-01-23 18:55:21.640842+01:00
APP102,customer102@example.com,INST_512,heat_pump,,20136,96,2024-06-04,627.0,41734.0,50667,approved,{},Poor,0.48248430536253417,2026-01-23 18:55:21.640842+01:00
APP103,applicant103@web.de,INST_719,heat_pump,,17395,120,2024-10-26,724.0,74824.0,01067,approved,{},Good,0.23247888378060516,2026-01-23 18:55:21.640842+01:00
APP104,customer104@domain.de,INST_203,heat_pump,,21003,120,2024-12-16,800.0,91207.0,60311,approved,{},Excellent,0.23027837775609328,2026-01-23 18:55:21.640842+01:00
APP105,contact105@mail.de,INST_042,heat_pump,,16043,120,2024-08-07,599.0,55517.0,10119,approved,{},Poor,0.28897454833654557,2026-01-23 18:55:21.640842+01:00
APP106,person106@example.com,INST_091,heat_pump,,20334,120,2024-08-13,755.0,65595.0,50667,declined,{},Excellent,0.30999313972101533,2026-01-23 18:55:21.640842+01:00
APP107,buyer107@example.com,INST_091,solar_pv,12.5,19749,180,2024-11-13,622.0,75319.0,80337,declined,{},Poor,0.26220475577211594,2026-01-23 18:55:21.640842+01:00
APP108,client108@web.de,INST_287,solar_battery,9.0,29172,96,2024-11-24,718.0,99722.0,01069,approved,{},Good,0.29253324241391065,2026-01-23 18:55:21.640842+01:00
APP109,contact109@web.de,INST_512,solar_pv,5.4,19441,144,2024-06-24,585.0,70325.0,01067,declined,{},Poor,0.27644507643085675,2026-01-23 18:55:21.640842+01:00
APP110,customer110@domain.de,INST_156,heat_pump,,21700,144,2024-07-17,603.0,96605.0,60313,approved,{},Poor,0.22462605455204182,2026-01-23 18:55:21.640842+01:00
APP111,client111@email.de,INST_421,heat_pump,,16601,96,2024-09-14,788.0,107102.0,70173,approved,{},Excellent,0.1550017740098224,2026-01-23 18:55:21.640842+01:00
APP112,user112@mail.de,INST_512,heat_pump,,23242,180,2024-11-16,672.0,100338.0,60314,approved,{},Fair,0.23163706671450499,2026-01-23 18:55:21.640842+01:00
APP113,person113@domain.de,INST_091,solar_pv,5.1,19024,180,2024-07-02,620.0,75730.0,40212,approved,{},Poor,0.2512082397992869,2026-01-23 18:55:21.640842+01:00
APP114,contact114@test.com,INST_512,heat_pump,,20479,120,2024-07-01,654.0,101698.0,30163,approved,{},Fair,0.20137072508800566,2026-01-23 18:55:21.640842+01:00
APP115,client115@domain.de,INST_608,solar_pv,12.7,14526,144,2024-09-07,801.0,44150.0,40211,approved,{},Excellent,0.32901472253680636,2026-01-23 18:55:21.640842+01:00
APP116,client116@web.de,INST_608,solar_pv,9.5,12434,180,2024-12-28,728.0,99178.0,50667,declined,{},Good,0.12537054588719274,2026-01-23 18:55:21.640842+01:00
APP117,contact117@provider.com,INST_421,solar_battery,12.9,34706,180,2024-09-25,678.0,65613.0,80331,pending,{},Fair,0.5289500556292198,2026-01-23 18:55:21.640842+01:00
APP118,contact118@email.de,INST_608,heat_pump,,21439,180,2024-11-17,,100836.0,20099,approved,"{""credit_score_out_of_range"": true}",Unknown,0.21261255900670395,2026-01-23 18:55:21.640842+01:00
APP119,applicant119@provider.com,INST_091,heat_pump,,23692,144,2024-06-04,619.0,44807.0,20099,approved,{},Poor,0.5287566674849912,2026-01-23 18:55:21.640842+01:00
APP120,buyer120@test.com,INST_091,heat_pump,8.5,24864,180,2024-11-20,807.0,98956.0,60311,pending,{},Excellent,0.25126318767937267,2026-01-23 18:55:21.640842+01:00
APP121,client121@example.com,INST_156,heat_pump,13.6,16474,120,2024-06-26,757.0,74251.0,01069,declined,{},Excellent,0.2218690657364884,2026-01-23 18:55:21.640842+01:00
APP122,person122@example.com,INST_719,solar_battery,18.5,31985,120,2024-10-14,624.0,45350.0,40210,approved,{},Poor,0.7052921719955899,2026-01-23 18:55:21.640842+01:00
APP123,contact123@mail.de,INST_719,solar_battery,16.1,26712,144,2024-07-30,582.0,95981.0,40212,approved,{},Poor,0.2783050812139903,2026-01-23 18:55:21.640842+01:00
APP124,client124@web.de,INST_287,solar_battery,9.3,29916,144,2024-11-11,630.0,85422.0,01069,approved,{},Poor,0.35021423052609396,2026-01-23 18:55:21.640842+01:00
APP125,person125@web.de,INST_334,heat_pump,,24138,120,2024-06-06,755.0,41428.0,60311,approved,{},Excellent,0.5826494158540118,2026-01-23 18:55:21.640842+01:00
APP126,buyer126@domain.de,INST_512,solar_pv,14.0,11591,96,2024-11-10,776.0,52927.0,40211,approved,{},Excellent,0.2189997543786725,2026-01-23 18:55:21.640842+01:00
APP127,client127@web.de,INST_608,solar_battery,10.4,24877,144,2024-10-27,663.0,89460.0,01070,approved,{},Fair,0.27807958864296894,2026-01-23 18:55:21.640842+01:00
APP128,person128@domain.de,INST_421,solar_battery,13.6,23886,144,2024-07-13,655.0,79396.0,30163,pending,{},Fair,0.30084639024636,2026-01-23 18:55:21.640842+01:00
APP129,client129@email.de,INST_203,solar_battery,12.6,31577,180,2024-06-24,674.0,69362.0,10115,approved,{},Fair,0.455249271935642,2026-01-23 18:55:21.640842+01:00
APP130,applicant130@email.de,INST_156,heat_pump,,23606,96,2024-06-07,745.0,43285.0,70175,approved,{},Good,0.5453621346886912,2026-01-23 18:55:21.640842+01:00
APP131,applicant131@web.de,INST_156,solar_battery,13.4,28367,180,2024-06-10,717.0,52781.0,70173,approved,{},Good,0.5374471874348724,2026-01-23 18:55:21.640842+01:00
APP132,person132@domain.de,INST_334,solar_pv,7.2,16070,96,2024-11-15,651.0,39288.0,30163,approved,{},Fair,0.40903074730197514,2026-01-23 18:55:21.640842+01:00
APP133,contact133@email.de,INST_203,solar_battery,10.3,26520,96,2024-11-23,595.0,87184.0,70175,pending,{},Poor,0.3041842539915581,2026-01-23 18:55:21.640842+01:00
APP134,person134@mail.de,INST_156,solar_battery,14.7,34536,96,2024-06-13,632.0,43992.0,80335,pending,{},Poor,0.7850518276050191,2026-01-23 18:55:21.640842+01:00
APP135,person135@web.de,INST_334,solar_pv,5.1,12159,96,2024-08-10,608.0,38379.0,20099,approved,{},Poor,0.3168138825920425,2026-01-23 18:55:21.640842+01:00
APP136,customer136@example.com,INST_608,solar_battery,13.4,29802,120,2024-07-15,609.0,43330.0,10117,approved,{},Poor,0.6877913685668128,2026-01-23 18:55:21.640842+01:00
APP137,applicant137@example.com,INST_091,solar_pv,0.0,17504,180,2024-11-05,713.0,74535.0,01070,declined,"{""invalid_system_size"": true}",Good,0.2348426913530556,2026-01-23 18:55:21.640842+01:00
APP138,client138@example.com,INST_719,solar_battery,11.3,24067,144,2024-11-30,617.0,43609.0,10119,declined,{},Poor,0.5518814923524961,2026-01-23 18:55:21.640842+01:00
APP139,applicant139@mail.de,INST_512,heat_pump,,19522,180,2024-09-25,609.0,107264.0,40211,approved,{},Poor,0.18199955250596658,2026-01-23 18:55:21.640842+01:00
APP140,customer140@domain.de,INST_091,heat_pump,,18500,96,2024-09-15,645.0,84060.0,20095,approved,{},Poor,0.22008089459909588,2026-01-23 18:55:21.640842+01:00
APP141,customer141@example.com,INST_334,solar_pv,14.6,19608,180,2024-09-19,722.0,42861.0,01070,declined,{},Good,0.4574788269055785,2026-01-23 18:55:21.640842+01:00
APP142,customer142@mail.de,INST_608,solar_pv,6.5,13485,144,2024-12-02,727.0,101507.0,50667,approved,{},Good,0.13284798092742373,2026-01-23 18:55:21.640842+01:00
APP143,buyer143@email.de,INST_156,solar_battery,15.3,22430,144,2024-06-30,723.0,107972.0,40210,approved,{},Good,0.20773904345571073,2026-01-23 18:55:21.640842+01:00
APP144,kunde144@email.de,INST_608,solar_battery,12.8,32769,120,2024-11-27,616.0,109228.0,50668,approved,{},Poor,0.3000054930970081,2026-01-23 18:55:21.640842+01:00
APP145,kunde145@test.com,INST_156,solar_battery,19.3,34727,96,2024-09-05,764.0,77517.0,60314,approved,{},Excellent,0.44799205335603803,2026-01-23 18:55:21.640842+01:00
APP146,customer146@mail.de,INST_421,solar_pv,7.7,16785,96,2024-11-20,735.0,92939.0,80337,approved,{},Good,0.18060233056090555,2026-01-23 18:55:21.640842+01:00
APP147,kunde147@test.com,INST_287,heat_pump,,19612,120,2024-08-12,658.0,40952.0,01067,approved,{},Fair,0.4789021293221332,2026-01-23 18:55:21.640842+01:00
APP148,person148@web.de,INST_608,solar_pv,6.8,17055,144,2024-12-14,581.0,100193.0,30159,approved,{},Poor,0.17022147255796313,2026-01-23 18:55:21.640842+01:00
APP149,applicant149@mail.de,INST_091,solar_battery,14.9,27129,180,2024-06-19,,45205.0,01070,approved,"{""credit_score_out_of_range"": true}",Unknown,0.6001327286804558,2026-01-23 18:55:21.640842+01:00
APP150,applicant150@web.de,INST_421,solar_battery,13.2,23443,96,2024-06-06,792.0,82428.0,20100,declined,{},Excellent,0.28440578444217984,2026-01-23 18:55:21.640842+01:00
APP151,person151@domain.de,INST_334,solar_battery,15.6,30363,144,2024-09-10,623.0,45011.0,01070,approved,{},Poor,0.6745684388260648,2026-01-23 18:55:21.640842+01:00
APP152,customer152@test.com,INST_512,heat_pump,,18842,180,2024-12-04,645.0,60856.0,30163,approved,{},Poor,0.30961614302616014,2026-01-23 18:55:21.640842+01:00
APP153,user153@example.com,INST_091,heat_pump,,21295,180,2024-12-11,805.0,108989.0,30159,approved,{},Excellent,0.19538669039994863,2026-01-23 18:55:21.640842+01:00
APP154,kunde154@mail.de,INST_287,heat_pump,,17215,96,2024-09-22,670.0,101497.0,50667,declined,{},Fair,0.1696109244608215,2026-01-23 18:55:21.640842+01:00
